ain	ein
der	der
darwmb	darum
mensch	mensch
wart	ward
daz	dass
er	er
den	den
verlorn	verloren
menschen	menschen
widerprecht	wiederbrachte
der	der
mocht	mochte
seiner	seiner
chinthait	kindheit
nicht	nicht
geniessen	geniessen
vnd	und
sein	sein
pegert	begehrt
herodes	herodes
daz	dass
er	er
in	in
erslug	erschlug
awe	oweh
den	denn
die	die
in	ihn
habent	haben
erhangen	erhängt
durch	durch
der	der
willen	willen
er	er
auff	auf
ertreich	erdreich
chom	kam
vnd	und
mit	mit
in	ihn
gutleichen	gütlichen
wandelt	wandelt
vnd	und
die	die
toten	toten
hies	hiess
auffsten	aufstehen
vnd	und
die	die
macht	macht
er	er
gesunt	gesund
vnd	und
in	ihn
alle	alle
czeit	zeit
gotleiche	göttliche
werich	werk
erzaigt	erzeigt
vnd	und
do	da
ich	ich
in	in
der	der
grossen	grossen
chlag	klage
waz	war
vnd	und
mein	mein
swester	schwester
maria	maria
magdalena	magdalena
vnd	und
mein	mein
chind	kind
suchten	suchten
vnd	und
mich	mich
in	in
dem	dem
haws	haus
hetenn	hatten
gelassen	gelassen
wan	wann
ich	ich
nicht	nicht
geuolgen	folgen
machtt	mochte
czu	zu
dem	dem
grab	grab
do	da
chom	kam
mein	mein
chind	kind
mit	mit
also	also
grosser	grosser
herschafft	herrschaft
vnd	und
mit	mit
vngeleichen	ungleichen
freunten	freunden
do	da
waz	war
sein	sein
antlucz	antlitz
vnd	und
aller	aller
sein	sein
leib	leib
so	so
vnd	und
also	also
schon	schön
vnd	und
durchleucht	durchleuchtet
als	als
der	der
sprach	sprach
daz	das
ist	ist
der	der
allerschonist	allerschönste
vber	über
all	all
menschen	menschen
vnd	und
doe	da
er	er
also	also
mit	mit
grosser	grosser
herschafft	herrschaft
erschain	erscheine
do	da
sach	sah
er	er
mich	mich
also	also
gutleichen	gütlichen
an	an
daz	dass
ich	ich
alles	alles
meines	meines
herczenlaid	herzenleid
vergaz	vergass
viel	fiel
ich	ich
nider	nieder
und	und
chust	küsst
in	ihn
an	an
sein	seine
fuez	füsse
vnd	und
sprach	sprach
czu	zu
im	ihm
ewiger	ewiger
sun	sohn
des	des
vaters	vaters
von	von
hymelreich	himmelreich
vnd	und
meyn	mein
czartes	zartes
chind	kind
ich	ich
lob	lobe
dich	dich
daz	dass
du	du
alles	alles
menschleichs	menschliches
chund	kind
erledigt	erledigt
hast	hast
mit	mit
deinem	deinem
tod	tod
vnd	und
mit	mit
deiner	deiner
marter	marter
vnd	und
do	da
ich	ich
die	die
wart	wort
czu	zu
im	ihm
gesprach	sprach
do	da
schied	schied
er	er
sich	sich
von	von
mir	mir
do	da
chom	kam
mein	mein
swester	schwester
maria	maria
magna	magdalena
dew	die
heten	hatten
grosse	grosse
frewd	freude
mit	mit
mir	mir
dy	die
sun	sonne
erschain	erscheine
von	von
rechten	rechten
frevden	freuden
vnd	und
gab	gab
die	die
taten	toten
wider	wieder
daz	dass
sy	sie
wern	wären
gezeug	zeuge
der	der
erleichen	herrlichen
vnd	und
mir	mir
waz	war
all	all
meyn	mein
laid	leid
verswunden	verschwunden
nicht	nicht
allain	allein
daz	dass
mir	mir
mein	mein
chind	kind
wider	wieder
wart	ward
ich	ich
frewt	freut
mich	mich
daz	dass
alles	alles
menschleichs	menschliches
erlost	erlöst
waz	war
von	von
den	dem
ewigen	ewigen
tod	tod
anshelme	anselm
also	also
hat	hat
sich	sich
die	die
marter	marter
vnd	und
daz	das
leiden	leiden
meines	meines
lieben	lieben
chind	kind
vnd	und
dy	die
seines	seines
leidens	leidens
aller	aller
sache	sache
am	amen
vnd	und
wer	wer
daz	das
puchl	buch
list	liest
der	der
hat	hat
geluck	glück
czu	zu
aller	aller
frist	frist
